word,0,1,word_difference
debt,0.0,0.09241483827544071,-0.09241483827544071
federal,0.000627875727080101,0.0886727446385611,-0.088044868911481
credit,0.000563689852382994,0.08721676747679875,-0.08665307762441576
private,0.0004453791034354255,0.07960272222580492,-0.0791573431223695
college,0.0005272930376886879,0.07531705933802832,-0.07478976630033964
graduate,0.0,0.07042877531075127,-0.07042877531075127
money,0.006423312118298736,0.07336832201239656,-0.06694500989409782
rate,0.004014607156220315,0.06946807358180362,-0.0654534664255833
parent,0.002996251241836732,0.062285566225690855,-0.059289314983854126
income,0.000662014352286009,0.058175488291713214,-0.057513473939427205
apply,0.007315074651515096,0.06418565761695329,-0.05687058296543819
program,0.002168494021570491,0.05624342196032466,-0.05407492793875417
job,0.017603821354095085,0.05647985015649464,-0.038876028802399556
degree,0.005447742151789683,0.039916946255455055,-0.03446920410366537
total,0.007318019476301815,0.03915969568812125,-0.031841676211819436
currently,0.0164058731084,0.04583716452255227,-0.029431291414152273
option,0.025613231169514146,0.04745379050871016,-0.021840559339196014
end,0.019742075522293078,0.04107596478496895,-0.021333889262675872
able,0.021718190460270737,0.04108496830368075,-0.01936677784341001
ask,0.01835182357230464,0.037380904095946306,-0.019029080523641665
low,0.016253739050989657,0.03364664635513199,-0.017392907304142332
high,0.02098199164419924,0.03356133863334908,-0.012579346989149837
tell,0.022674681833889137,0.03445668130932371,-0.011781999475434572
ll,0.02255910895321596,0.03335557807826844,-0.010796469125052478
possible,0.0254356551891322,0.034408859668395346,-0.008973204479263145
feel,0.021586635044129405,0.029807233253747345,-0.00822059820961794
wonder,0.03332374990203157,0.041542689807077406,-0.008218939905045838
leave,0.026154976457355688,0.03136215907809017,-0.005207182620734479
cost,0.02373361788988222,0.027531642649693707,-0.0037980247598114886
live,0.02931656142263727,0.032131074421620796,-0.002814512998983526
long,0.031812346614613,0.03442978214784711,-0.002617435533234111
company,0.02294906743754243,0.025474093020809906,-0.002525025583267476
hi,0.03489414665789707,0.034527814974008454,0.00036633168388861687
appreciate,0.03398381466739415,0.031498431818085273,0.0024853828493088745
lot,0.028767904321235403,0.024575269382994803,0.0041926349382406004
cover,0.027716518141537583,0.02291465768282735,0.004801860458710231
day,0.030645242040118075,0.024611293570624977,0.006033948469493098
post,0.027683252878105177,0.018728257512960523,0.008954995365144654
close,0.02798324836598828,0.01886937454756004,0.00911387381842824
place,0.03695957430594119,0.012743211014744705,0.024216363291196488
small,0.0410648962566057,0.01469410524110263,0.02637079101550307
issue,0.04029069787498772,0.013500162334621,0.02679053554036672
line,0.037201311368528944,0.00927539718797938,0.027925914180549564
area,0.039119972571001076,0.007388227785680859,0.03173174478532022
fix,0.045705591562570064,0.009194846702668067,0.036510744859901995
light,0.0398961399304623,0.0028257254141349293,0.03707041451632737
run,0.04897843632850024,0.007270351718645669,0.04170808460985457
tile,0.04434568326064479,0.0,0.04434568326064479
remove,0.052105536451622775,0.007612313828345008,0.04449322262327777
build,0.05013188005172307,0.0049718857785749524,0.04515999427314812
room,0.05217968069293376,0.0042862744855025,0.04789340620743126
instal,0.04919467407693578,0.0,0.04919467407693578
wood,0.0507033951758688,0.0,0.0507033951758688
paint,0.054462514625400936,0.00041383046326464633,0.05404868416213629
window,0.055052909647123144,0.00011189197103171587,0.05494101767609143
door,0.07643031591120651,0.0013371569233774755,0.07509315898782903
floor,0.07699748080362143,0.0,0.07699748080362143
water,0.08647233354211774,0.00037088978325139,0.08610144375886634
